# ThreatLens auth log — brute-force style failed logins (single source IP)
# 40 failures against alice, then 10 against bob. Same IP: 203.0.113.77
# 50 login_failure events. M1 parses these; M2 will detect.

2024-03-13T02:14:35Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:36Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:37Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:38Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:39Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:40Z login_failure user=alice ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:41Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:42Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:43Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:44Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:45Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:46Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:47Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:48Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:49Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
2024-03-13T02:14:50Z login_failure user=bob ip=203.0.113.77 ua="Mozilla/5.0 (compatible; scanner)" resource=/login status=401
